"","Date","Open","High","Low","Close","Adj.Close","Volume"
"6","2018-01-16",26.66,27.139999,26.65,26.73,26.73,88900
"7","2018-01-17",26.860001,26.860001,26.139999,26.440001,26.440001,162300
"8","2018-01-18",26.450001,26.5,25.969999,26.110001,26.110001,159300
"9","2018-01-19",26.08,26.48,25.709999,26.110001,26.110001,175900
"10","2018-01-22",26.08,26.389999,25.790001,26.35,26.35,86800
"11","2018-01-23",26.370001,26.65,25.950001,26.610001,26.610001,53700
"12","2018-01-24",26.77,27.23,26.559999,27.110001,27.110001,167500
"13","2018-01-25",27.16,27.25,26.73,26.98,26.98,190800
"14","2018-01-26",27.1,27.67,26.620001,26.99,26.99,73400
"15","2018-01-29",27,27.01,26.76,26.76,26.76,435000
"16","2018-01-30",26.690001,26.91,26.66,26.83,26.83,125100
"17","2018-01-31",26.889999,27,26.24,26.629999,26.629999,316600
"18","2018-02-01",26.51,26.700001,26.08,26.469999,26.469999,112600
"19","2018-02-02",26.450001,26.6,26.190001,26.290001,26.290001,81700
"20","2018-02-05",26.23,26.58,25.48,25.6,25.6,206800
